SEX_ASK_TRM,Age_group_5,WGHTS_PROV_TRM,DCS.groups,Education,NHS_Weight
M,65-74,NS,Non_DCS,Medium Education,11110
M,65-74,ON,DCS1,Higher Education lower,5520
M,65-74,ON,DCS1,Higher Education upper,6045
M,65-74,ON,DCS1,Low Education,7385
M,65-74,ON,DCS1,Medium Education,9945
M,65-74,ON,DCS2,Higher Education lower,4665
M,65-74,ON,DCS2,Higher Education upper,11080
M,65-74,ON,DCS2,Low Education,3100
M,65-74,ON,DCS2,Medium Education,7220
M,65-74,ON,Non_DCS,Higher Education lower,71945
M,65-74,ON,Non_DCS,Higher Education upper,83030
M,65-74,ON,Non_DCS,Low Education,108720
M,65-74,ON,Non_DCS,Medium Education,150630
M,65-74,PE,Non_DCS,Higher Education lower,685
M,65-74,PE,Non_DCS,Higher Education upper,860
M,65-74,PE,Non_DCS,Low Education,1710
M,65-74,PE,Non_DCS,Medium Education,2535
M,65-74,QC,DCS1,Higher Education lower,14885
M,65-74,QC,DCS1,Higher Education upper,22245
M,65-74,QC,DCS1,Low Education,25645
M,65-74,QC,DCS1,Medium Education,35025
M,65-74,QC,DCS2,Higher Education lower,1335
M,65-74,QC,DCS2,Higher Education upper,2135
M,65-74,QC,DCS2,Low Education,3295
M,65-74,QC,DCS2,Medium Education,4835
M,65-74,QC,Non_DCS,Higher Education lower,29465
M,65-74,QC,Non_DCS,Higher Education upper,29925
M,65-74,QC,Non_DCS,Low Education,69195
M,65-74,QC,Non_DCS,Medium Education,85435
M,65-74,SK,Non_DCS,Higher Education lower,4250
M,65-74,SK,Non_DCS,Higher Education upper,5550
M,65-74,SK,Non_DCS,Low Education,12140
M,65-74,SK,Non_DCS,Medium Education,12935
M,75-85,AB,DCS1,Higher Education lower,2470
M,75-85,AB,DCS1,Higher Education upper,3385
M,75-85,AB,DCS1,Low Education,4375
M,75-85,AB,DCS1,Medium Education,5610
M,75-85,AB,Non_DCS,Higher Education lower,5090
M,75-85,AB,Non_DCS,Higher Education upper,4440
M,75-85,AB,Non_DCS,Low Education,16610
M,75-85,AB,Non_DCS,Medium Education,15480
M,75-85,BC,DCS1,Higher Education lower,7275
M,75-85,BC,DCS1,Higher Education upper,8970
M,75-85,BC,DCS1,Low Education,13250
M,75-85,BC,DCS1,Medium Education,16230
M,75-85,BC,DCS2,Higher Education lower,1835
M,75-85,BC,DCS2,Higher Education upper,2645
M,75-85,BC,DCS2,Low Education,1830
M,75-85,BC,DCS2,Medium Education,3560
M,75-85,BC,Non_DCS,Higher Education lower,7160
M,75-85,BC,Non_DCS,Higher Education upper,5340
M,75-85,BC,Non_DCS,Low Education,15385
M,75-85,BC,Non_DCS,Medium Education,19445
M,75-85,MB,DCS1,Higher Education lower,1830
M,75-85,MB,DCS1,Higher Education upper,2265
M,75-85,MB,DCS1,Low Education,4365
M,75-85,MB,DCS1,Medium Education,5190
M,75-85,MB,Non_DCS,Higher Education lower,940
M,75-85,MB,Non_DCS,Higher Education upper,830
M,75-85,MB,Non_DCS,Low Education,5525
M,75-85,MB,Non_DCS,Medium Education,3285
M,75-85,NB,Non_DCS,Higher Education lower,1585
M,75-85,NB,Non_DCS,Higher Education upper,1480
M,75-85,NB,Non_DCS,Low Education,8235
M,75-85,NB,Non_DCS,Medium Education,5340
M,75-85,NL,DCS1,Higher Education lower,505
M,75-85,NL,DCS1,Higher Education upper,315
M,75-85,NL,DCS1,Low Education,890
M,75-85,NL,DCS1,Medium Education,980
M,75-85,NL,Non_DCS,Higher Education lower,485
M,75-85,NL,Non_DCS,Higher Education upper,150
M,75-85,NL,Non_DCS,Low Education,5230
M,75-85,NL,Non_DCS,Medium Education,1830
M,75-85,NS,DCS1,Higher Education lower,1070
M,75-85,NS,DCS1,Higher Education upper,1120
M,75-85,NS,DCS1,Low Education,1550
M,75-85,NS,DCS1,Medium Education,2270
M,75-85,NS,Non_DCS,Higher Education lower,1500
M,75-85,NS,Non_DCS,Higher Education upper,1405
M,75-85,NS,Non_DCS,Low Education,6925
M,75-85,NS,Non_DCS,Medium Education,4650
M,75-85,ON,DCS1,Higher Education lower,2700
M,75-85,ON,DCS1,Higher Education upper,2475
M,75-85,ON,DCS1,Low Education,6345
M,75-85,ON,DCS1,Medium Education,6440
M,75-85,ON,DCS2,Higher Education lower,2475
M,75-85,ON,DCS2,Higher Education upper,4695
M,75-85,ON,DCS2,Low Education,3340
M,75-85,ON,DCS2,Medium Education,4700
M,75-85,ON,Non_DCS,Higher Education lower,33965
M,75-85,ON,Non_DCS,Higher Education upper,36095
M,75-85,ON,Non_DCS,Low Education,89930
M,75-85,ON,Non_DCS,Medium Education,82160
M,75-85,PE,Non_DCS,Higher Education lower,445
M,75-85,PE,Non_DCS,Higher Education upper,360
M,75-85,PE,Non_DCS,Low Education,1415
M,75-85,PE,Non_DCS,Medium Education,1055
M,75-85,QC,DCS1,Higher Education lower,6740
M,75-85,QC,DCS1,Higher Education upper,9525
M,75-85,QC,DCS1,Low Education,22715
M,75-85,QC,DCS1,Medium Education,20140
M,75-85,QC,DCS2,Higher Education lower,525
M,75-85,QC,DCS2,Higher Education upper,765
M,75-85,QC,DCS2,Low Education,2290
M,75-85,QC,DCS2,Medium Education,1720
M,75-85,QC,Non_DCS,Higher Education lower,9060
M,75-85,QC,Non_DCS,Higher Education upper,9160
M,75-85,QC,Non_DCS,Low Education,47605
M,75-85,QC,Non_DCS,Medium Education,32040
M,75-85,SK,Non_DCS,Higher Education lower,2390
M,75-85,SK,Non_DCS,Higher Education upper,1855
M,75-85,SK,Non_DCS,Low Education,11375
M,75-85,SK,Non_DCS,Medium Education,7410
